Time(UTC+01:00),Futures Trading Pair,Direction,Leverage,Order Type,Order Qty (Cont.),Filled Qty (Cont.),Order Qty (Crypto),Filled Qty (Crypto),Order Qty (Amount),Filled Qty (Amount),Order Price,Average Filled Price,Closing PNL,Trading Fee,Fee-payment Crypto,Status
2025-02-25 15:26:05,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.089,8.089,8.089e-05,8.089e-05,0.0,0,USDT,FINISHED
2025-02-25 15:34:12,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.13,8.13,8.13e-05,8.13e-05,0.041,0,USDT,FINISHED
2025-02-25 15:34:13,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.128,8.128,8.128e-05,8.128e-05,0.0,0,USDT,FINISHED
2025-02-25 15:43:08,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.031,8.031,8.031e-05,8.031e-05,0.097,0,USDT,FINISHED
2025-02-25 15:43:09,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.034,8.034,8.034e-05,8.034e-05,0.0,0,USDT,FINISHED
2025-02-25 16:01:03,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,7.959,7.959,7.959e-05,7.959e-05,-0.075,0,USDT,FINISHED
2025-02-25 16:01:05,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,7.958,7.958,7.958e-05,7.958e-05,0.0,0,USDT,FINISHED
2025-02-25 17:06:03,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.134,8.134,8.134e-05,8.134e-05,-0.176,0,USDT,FINISHED
2025-02-25 17:06:05,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.131,8.131,8.131e-05,8.131e-05,0.0,0,USDT,FINISHED
2025-02-25 17:13:02,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.169,8.169,8.169e-05,8.169e-05,0.038,0,USDT,FINISHED
2025-02-25 17:13:04,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.163,8.163,8.163e-05,8.163e-05,0.0,0,USDT,FINISHED
2025-02-25 17:26:01,FLOKI_USDT,sell short,1,MARKET,1,1,100000,100000,8.086,8.086,8.086e-05,8.086e-05,0.077,0,USDT,FINISHED
2025-02-25 17:26:03,FLOKI_USDT,buy long,1,MARKET,1,1,100000,100000,8.086,8.086,8.086e-05,8.086e-05,0.0,0,USDT,FINISHED
2025-02-25 17:38:04,FLOKI_USDT,sell long,1,MARKET,1,1,100000,100000,8.113,8.113,8.113e-05,8.113e-05,0.027,0,USDT,FINISHED
2025-02-25 17:38:05,FLOKI_USDT,buy short,1,MARKET,1,1,100000,100000,8.116,8.116,8.116e-05,8.116e-05,0.0,0,USDT,FINISHED
